"Include","StudyID","GroupID","LaboratoryID","PopulationID","EffectID","Title","Year","Authors_all","Lab_PI","Journal","DOI","Species","Developmental_mode","Mean_clutch_size","SD_clutch_size","SE_clutch_size","Focal_clutch_number","Max_clutch_number","Study_area","Lat_study_area","Long_study_area","Elev_study_area","Year_collection","Study_type","Egg_n_collected","Time_collection","Egg_sampl_method","Egg_store","Egg_homog","Egg_homog_name","Site_horm_measured","Horm_measured","Horm_extracted_colum","Method_horm_meas","AntibodyKit","Horm_units","Horm_mean","Horm_Var","Horm_Var_Type","Exp_mother_egg","Method_mother_exp","Type_mother_exp","Horm_mother_exp","Horm_mother_units","Horm_mother_lab","Horm_mother_applied_dose","Horm_mother_mean_nat","Horm_mother_dose_exp","Horm_mother_SD","Horm_mother_cateogrical_dose","Time_mother_exp","Egg_order_exp","Egg_n_exp","Percent_egg_exp","Time_egg_exp","Method_egg_exp","Site_egg_exp","Horm_egg_exp","Horm_egg_units","Horm_egg_lab","Horm_egg_applied_dose","Horm_egg_mean_nat","Horm_egg_dose_exp","Horm_egg_SD","Horm_egg_cateogrical_dose","Solvent_egg_used_exp","Fitness_trait","Fitness_mother","Fitness_offs","Off_life_stage","Off_age","Off_average_nesting_time","Off_relative_age","Off_sex","Blind_data_recording","Partial_or_selective_data_rep","TestStat_N_level","TestStat_N_clutch","TestStat_N_off","TestStat_Type","TestStat_NumberOfPredictors","TestStat_Value","TestStat_df","TestStat_p","TestStat_p_comment","TestDirection","Exp_N_level","Control_Mean","Control_Var","Control_N_clutch","Control_N_off","Exp_Mean","Exp_Var","Exp_N_clutch","Exp_N_off","Shared_control","Shared_control_ID","Var_type","Var_type_comment","DataReporting","Raw","Notes","Quotes","ExtractionID","Extraction_check_observer","Extraction_check_notes","Reply_LM","Comments_after_author_response","Final_exclusion_paper_why","Least_square_means","Cross_fostering","Incubation_prior","Effect_size_type","stats_n_total","stats_n_df","control_n_total","exp_n_total","raw_n","datasubset","cor","cor_var","sd_control","sd_exp","n_control_surv","n_control_no_surv","n_exp_surv","n_exp_no_surv","final_n","DataSourceLocation","Hormone_measured_unique","Hormone_measured_general"
"yes","rayyan-123815011","GR_P_03","Lab_ID_4","Population_ID_10",3,"Natural selection acts in opposite ways on correlated hormonal mediators of prenatal maternal effects in a wild bird population","2014","Tschirren; B. and Postma; E. and Gustafsson; L. and Groothuis; T.G.G. and Doligez; B.","Doligez","Ecology Letters","10.1111/ele.12339","Ficedula albicollis","altricial",6.1,0.7,NA,NA,NA,"Gotland; Sweden",57.17,18.33,NA,"2003- 2005- 2006- 2007","correlational","3","same day that it was laid","entire egg removed","yolk stored separately",NA,NA,"yolk","androstenedione","no","RIA (radio inmuno assay)","Diagnostic System Laboratories; USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mother","offspring recruit",NA,"after independence",NA,NA,NA,"female",NA,"no","clutch","256",NA,"Chi-square (negative binomial mixed model)",4,11.403,NA,"<0.001","p-value","positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"complete","no","The lab were hormones were analyzed was probably Groothuis (not Dolinguez which is the last author). Figure 1 presents raw data for testosterone and androstenedione - but values are standardized (mean 0; SD 1). ",NA,"PBD","LM; ASF",NA,NA,NA,NA,"no","no","no","Chi-square (negative binomial mixed model)",256,NA,NA,NA,NA,"stats_clutch",0.211052052228828,0.00357999270025515,NA,NA,NA,"NA",NA,NA,256,"text; p1313","androstenedione","androgens"
"yes","rayyan-123815011","GR_P_03","Lab_ID_4","Population_ID_10",4,"Natural selection acts in opposite ways on correlated hormonal mediators of prenatal maternal effects in a wild bird population","2014","Tschirren; B. and Postma; E. and Gustafsson; L. and Groothuis; T.G.G. and Doligez; B.","Doligez","Ecology Letters","10.1111/ele.12339","Ficedula albicollis","altricial",6.1,0.7,NA,NA,NA,"Gotland; Sweden",57.17,18.33,NA,"2003- 2005- 2006- 2007","correlational","3","same day that it was laid","entire egg removed","yolk stored separately",NA,NA,"yolk","androstenedione","no","RIA (radio inmuno assay)","Diagnostic System Laboratories; USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mother","offspring recruit",NA,"after independence",NA,NA,NA,"male",NA,"no","clutch","256",NA,"Chi-square (negative binomial mixed model)",4,0.486,NA,"0.486","p-value","positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"complete","no","The lab were hormones were analyzed was probably Groothuis (not Dolinguez which is the last author). Figure 1 presents raw data for testosterone and androstenedione - but values are standardized (mean 0; SD 1). ",NA,"PBD","LM; ASF",NA,NA,NA,NA,"no","no","no","Chi-square (negative binomial mixed model)",256,NA,NA,NA,NA,"stats_clutch",0.0435710626448334,0.00390669305515663,NA,NA,NA,"NA",NA,NA,256,"text; p1313","androstenedione","androgens"
"yes","rayyan-123815011","GR_P_03","Lab_ID_4","Population_ID_10",5,"Natural selection acts in opposite ways on correlated hormonal mediators of prenatal maternal effects in a wild bird population","2014","Tschirren; B. and Postma; E. and Gustafsson; L. and Groothuis; T.G.G. and Doligez; B.","Doligez","Ecology Letters","10.1111/ele.12339","Ficedula albicollis","altricial",6.1,0.7,NA,NA,NA,"Gotland; Sweden",57.17,18.33,NA,"2003- 2005- 2006- 2007","correlational","3","same day that it was laid","entire egg removed","yolk stored separately",NA,NA,"yolk","testosterone","no","RIA (radio inmuno assay)","Diagnostic System Laboratories; USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mother","offspring recruit",NA,"after independence",NA,NA,NA,"female",NA,"no","clutch","256",NA,"Chi-square (negative binomial mixed model)",4,11.182,NA,"<0.001","p-value","negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"complete","no","The lab were hormones were analyzed was probably Groothuis (not Dolinguez which is the last author). Figure 1 presents raw data for testosterone and androstenedione - but values are standardized (mean 0; SD 1). ",NA,"PBD","LM; ASF",NA,NA,NA,NA,"no","no","no","Chi-square (negative binomial mixed model)",256,NA,NA,NA,NA,"stats_clutch",-0.20899686002426,0.00358646486313764,NA,NA,NA,"NA",NA,NA,256,"text; p1313","testosterone","androgens"
"yes","rayyan-123815011","GR_P_03","Lab_ID_4","Population_ID_10",6,"Natural selection acts in opposite ways on correlated hormonal mediators of prenatal maternal effects in a wild bird population","2014","Tschirren; B. and Postma; E. and Gustafsson; L. and Groothuis; T.G.G. and Doligez; B.","Doligez","Ecology Letters","10.1111/ele.12339","Ficedula albicollis","altricial",6.1,0.7,NA,NA,NA,"Gotland; Sweden",57.17,18.33,NA,"2003- 2005- 2006- 2007","correlational","3","same day that it was laid","entire egg removed","yolk stored separately",NA,NA,"yolk","testosterone","no","RIA (radio inmuno assay)","Diagnostic System Laboratories; USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mother","offspring recruit",NA,"after independence",NA,NA,NA,"male",NA,"no","clutch","256",NA,"Chi-square (negative binomial mixed model)",4,4,NA,"0.046","p-value","negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"complete","no","The lab were hormones were analyzed was probably Groothuis (not Dolinguez which is the last author). Figure 1 presents raw data for testosterone and androstenedione - but values are standardized (mean 0; SD 1). ",NA,"PBD","LM; ASF",NA,NA,NA,NA,"no","no","no","Chi-square (negative binomial mixed model)",256,NA,NA,NA,NA,"stats_clutch",-0.125,0.00379997702205882,NA,NA,NA,"NA",NA,NA,256,"text; p1313","testosterone","androgens"
"yes","rayyan-123815144","GR_L_23","Lab_ID_28","Population_ID_38",17,"Phenotypic plasticity in response to breeding density in tree swallows: An adaptive maternal effect?","2013","Bentz; Alexandra B. and Navara; Kristen J. and Siefferman; Lynn","Siefferman","Hormones and Behaviour","10.1016/j.yhbeh.2013.08.009","Tachycineta bicolor","altricial",NA,NA,NA,NA,NA,"Watauga County; USA",36.2,-81.67,NA,"2009","correlational","3","after egg completition or before incubating","entire egg removed","entire egg frozen",NA,NA,"yolk","testosterone","yes","RIA (radio inmuno assay)","MP Biomedicals; Solon; OH","ng","2.78","0.57","SE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offspring",NA,"growth rate (mass)","before independence","1;10",NA,NA,NA,NA,NA,"clutch","8",NA,"F-test (linear model)",NA,25.29,7,"0.002","p-value","positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"complete","no","Mean and variance of hormone concentration was obtained from 8 clutches - figure 2 (p732). They consider hatching day at d=1. since in our study we consider hatching day at d=0; the days when nestlings were sampled are corrected by this. Correlation estiamte R2 =0.81",NA,"LM","LM",NA,NA,NA,NA,"no","no","no","F-test (linear mixed model)",8,8,NA,NA,NA,"stats_clutch",0.89902471925378,0.00525282986359845,NA,NA,NA,"NA",NA,NA,8,"figure & text; p732 & fig2","testosterone","androgens"
"yes","rayyan-123815659","GR_N_19","Lab_ID_16","Population_ID_3",18,"Yolk androgens in the barn swallow (Hirundo rustica): A test of some adaptive hypotheses","2006","Gil; D. and Ninni; P. and Lacroix; A. and De Lope; F. and Tirard; C. and Marzal; A. and Pape Møller; A.","Møller","Journal of Evolutionary Biology","10.1111/j.1420-9101.2005.00981.x","Hirundo rustica","altricial",5,NA,NA,"1 & 2",2,"Badajoz; Spain",NA,NA,NA,"2000-2001","correlational","1","after egg completition or before incubating","entire egg removed",NA,"distilled water",NA,"yolk","androstenedione",NA,"RIA (radio inmuno assay)","P.A.R.I.S laboratories","pg/ml","20.6","0.58","SE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mother","clutch size",NA,NA,NA,NA,NA,NA,NA,"yes","clutch","unclear",NA,"F-test (linear mixed model)",NA,9.54,162,"<0.01","""Clutch size was strongly positively related to yolk A4 concentration (regression coefficient . 2.08 ± 0.67 SE; F(1;162) = 9.54; P < 0.01; Fig. 2).""","positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"incomplete","yes","they measured A4; androstenedione; DHT and testosterone; but because all were correlated they only pay attention to A4. ALSO: there is an experiment in this paper; but is manipulating the male; not the female. ",NA,"MNA","NMA; LM",NA,NA,NA,NA,"no","no","no","F-test (linear mixed model)",163,163,NA,NA,NA,"stats_clutch",0.236516290000657,0.00550153930705429,NA,NA,NA,"NA",NA,NA,163,"table; text; p127","androstenedione","androgens"
"yes","rayyan-123815659","GR_N_19","Lab_ID_16","Population_ID_3",19,"Yolk androgens in the barn swallow (Hirundo rustica): A test of some adaptive hypotheses","2006","Gil; D. and Ninni; P. and Lacroix; A. and De Lope; F. and Tirard; C. and Marzal; A. and Pape Møller; A.","Møller","Journal of Evolutionary Biology","10.1111/j.1420-9101.2005.00981.x","Hirundo rustica","altricial",5,NA,NA,"1 & 2",2,"Badajoz; Spain",NA,NA,NA,"2000-2001","correlational","1","after egg completition or before incubating","entire egg removed",NA,"distilled water",NA,"yolk","androstenedione",NA,"RIA (radio inmuno assay)","P.A.R.I.S laboratories","pg/ml","20.6","0.58","SE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offspring",NA,"wing","before independence","12",NA,NA,NA,NA,"yes","clutch","unclear",NA,"F-test (linear mixed model)",NA,1.45,102,"0.22","p-value","negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"incomplete","no",NA,NA,"MNA","LM","sample sizes and raw data are totally absent; also model structures are hidden","The authors write day 13; but in the methods they mention that they consider hatching day as d1. Since here we consider hatching date as 0; then all measurements were taken on day 12",NA,NA,"no","no","no","F-test (linear mixed model)",103,103,NA,NA,NA,"stats_clutch",-0.118967413545066,0.0095283708175154,NA,NA,NA,"NA",NA,NA,103,"text; p128","androstenedione","androgens"
"yes","rayyan-123815659","GR_N_19","Lab_ID_16","Population_ID_3",20,"Yolk androgens in the barn swallow (Hirundo rustica): A test of some adaptive hypotheses","2006","Gil; D. and Ninni; P. and Lacroix; A. and De Lope; F. and Tirard; C. and Marzal; A. and Pape Møller; A.","Møller","Journal of Evolutionary Biology","10.1111/j.1420-9101.2005.00981.x","Hirundo rustica","altricial",5,NA,NA,"1 & 2",2,"Badajoz; Spain",NA,NA,NA,"2000-2001","correlational","1","after egg completition or before incubating","entire egg removed",NA,"distilled water",NA,"yolk","androstenedione",NA,"RIA (radio inmuno assay)","P.A.R.I.S laboratories","pg/ml","20.6","0.58","SE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offspring",NA,"mass","before independence","12",NA,NA,NA,NA,"yes","clutch","unclear",NA,"F-test (linear mixed model)",NA,0.55,105,"0.46","p-value","positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"incomplete","no","The authors also report the relationship between yolk a4 and within-brood variance in mass",NA,"MNA","NMA; LM","sample sizes and raw data are totally absent; also model structures are hidden","The authors write day 13; but in the methods they mention that they consider hatching day as d1. Since here we consider hatching date as 0; then all measurements were taken on day 12. The authors also report the relationship between yolk A4 and within-brood variance in mass - but they do not explain how they estimate this within-brood variance; so I did not extract this info.",NA,NA,"no","no","no","F-test (linear mixed model)",106,106,NA,NA,NA,"stats_clutch",0.0725302753455585,0.00942387040627296,NA,NA,NA,"NA",NA,NA,106,"text; p128","androstenedione","androgens"
"yes","rayyan-123815659","GR_N_19","Lab_ID_16","Population_ID_3",21,"Yolk androgens in the barn swallow (Hirundo rustica): A test of some adaptive hypotheses","2006","Gil; D. and Ninni; P. and Lacroix; A. and De Lope; F. and Tirard; C. and Marzal; A. and Pape Møller; A.","Møller","Journal of Evolutionary Biology","10.1111/j.1420-9101.2005.00981.x","Hirundo rustica","altricial",5,NA,NA,"1 & 2",2,"Badajoz; Spain",NA,NA,NA,"2000-2001","correlational","1","after egg completition or before incubating","entire egg removed",NA,"distilled water",NA,"yolk","androstenedione",NA,"RIA (radio inmuno assay)","P.A.R.I.S laboratories","pg/ml","20.6","0.58","SE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offspring",NA,"tarsus","before independence","12",NA,NA,NA,NA,"yes","clutch","unclear",NA,"F-test (linear mixed model)",NA,1.56,106,"0.21","p-value","negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"incomplete","no","The authors also report the relationship between yolk a4 and within-brood variance in tarsus",NA,"MNA","NMA; LM","sample sizes and raw data are totally absent; also model structures are hidden","The authors write day 13; but in the methods they mention that they consider hatching day as d1. Since here we consider hatching date as 0; then all measurements were taken on day 12. The authors also report the relationship between yolk A4 and within-brood variance in tarsus - but they do not explain how they estimate this within-brood variance; so I did not extract this info.",NA,NA,"no","no","no","F-test (linear mixed model)",107,107,NA,NA,NA,"stats_clutch",-0.120994378545615,0.00915976452612735,NA,NA,NA,"NA",NA,NA,107,"text; p128","androstenedione","androgens"
"yes","rayyan-123815659","GR_N_19","Lab_ID_16","Population_ID_3",22,"Yolk androgens in the barn swallow (Hirundo rustica): A test of some adaptive hypotheses","2006","Gil; D. and Ninni; P. and Lacroix; A. and De Lope; F. and Tirard; C. and Marzal; A. and Pape Møller; A.","Møller","Journal of Evolutionary Biology","10.1111/j.1420-9101.2005.00981.x","Hirundo rustica","altricial",5,NA,NA,"1 & 2",2,"Badajoz; Spain",NA,NA,NA,"2001","correlational","1","after egg completition or before incubating","entire egg removed",NA,"distilled water",NA,"yolk","androstenedione",NA,"RIA (radio inmuno assay)","P.A.R.I.S laboratories","pg/ml","20.6","0.58","SE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offspring",NA,"growth (mass)","before independence","6;12",NA,NA,NA,NA,"yes","clutch","unclear",NA,"F-test (linear mixed model)",NA,8.58,43.4,"<0.001","p-value","positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"incomplete","no",NA,NA,"MNA","LM",NA,"The authors write day 13; but in the methods they mention that they consider hatching day as d1. Since here we consider hatching date as 0; then all measurements were taken on day 12",NA,NA,"no","no","no","F-test (linear mixed model)",44.4,44.4,NA,NA,NA,"stats_clutch",0.410245407805308,0.0159383119014258,NA,NA,NA,"NA",NA,NA,44.4,"text; p128","androstenedione","androgens"
