"label","title","author","journal","issn","volume","number","pages","year","publisher","doi","abstract"
"X.ISI.000599460900017","Telomere dynamics from hatching to sexual maturity and maternal effects in the `multivariate egg'","Criscuolo, Francois and Torres, Roxanna and Zahn, Sandrine and Williams, Tony D.","JOURNAL OF EXPERIMENTAL BIOLOGY","0022-0949","223","23",NA,"2020","COMPANY BIOLOGISTS LTD","10.1242/jeb.232496","Avian eggs contain a large number of molecules deposited by the mother that provide the embryo with energy but also potentially influence its development via the effects of maternally derived hormones and antibodies: the avian egg is thus `multivariate'. Multivariate effects on offspring phenotype were evaluated in a study on captive zebra finches, by simultaneously manipulating maternally derived antibodies (MAb) by lipopolysaccharide (LPS) treatment of mothers and injection of testosterone into the egg yolk. LPS treatment had a positive effect on body mass growth at 30 days after hatching and immune response at sexual maturity, while egg testosterone treatment positively influenced immune response at fledging and courtship behaviour in sexually mature male offspring. Maternal effects are known to modulate offspring telomere length (TL). However, the multivariate effects of egg-derived maternal components on offspring telomere dynamics from hatching to sexual maturity are undefined. Here, we tested: (1) the effects of LPS and testosterone treatments on TL from hatching to sexual maturity (day 82); (2) how LPS treatment modulated TL over reproduction in adult females; and (3) the relationship between maternal and offspring TL. We predicted that TL would be shorter in LPS fledglings (as a cost of faster growth) and that TL would be longer in sexually mature adults after yolk testosterone treatment (as a proxy of individual quality). In adult females, there was an overall negative relationship between laying and rearing investments and TL, this relationship was weaker in LPS-treated females. In chicks, there was an overall negative effect of LPS treatment on TL measured at fledging and sexual maturity (day 25-82). In addition, at fledging, there was a SexxLPSxTestosterone interaction, suggesting the existence of antagonistic effects of our treatments. Our data partially support the hypothesis that telomeres are proxies of individual quality and that individual differences in TL are established very early in life."
"X.ISI.000584444300001","Egg corticosterone can stimulate telomerase activity and promote longer telomeres during embryo development","Carlos Noguera, Jose and da Silva, Alberto and Velando, Alberto","MOLECULAR ECOLOGY","0962-1083",NA,NA,NA,NA,"WILEY","10.1111/mec.15694 Early Access Date = {{NOV 2020","It is often assumed that the transfer of maternal glucocorticoids (GCs; e.g., corticosterone or cortisol) to offspring is an inevitable cost associated with adverse or stressful conditions experienced by mothers. However, recent evidence indicates that maternal GCs may adaptively programme particular physiological and molecular pathways during development to enhance offspring fitness. In this context, an important mechanism through which maternal GCs may lastingly affect offspring phenotypic quality and survival is via effects on embryo telomerase activity and so on offspring postnatal telomere length. Here, using a field experimental design for which we manipulated the corticosterone content in yellow-legged gull (Larus michahellis) eggs, we show that embryos from corticosterone-injected eggs not only had a higher telomerase activity but also longer telomeres just after hatching. A complementary analysis further revealed that gull hatchlings with longer telomeres had a higher survival probability during the period when most of the chick mortality occurs. Given the important role that telomere length and its restoring mechanisms have on ageing trajectories and disease risk, our findings provide a new mechanistic link by which mothers may presumably shape offspring life-history trajectories and phenotype."
"X.ISI.000595948700003","Developmental programming of the adrenocortical stress response by yolk testosterone depends on sex and life history stage","Schwabl, Hubert and Partecke, Jesko","JOURNAL OF EXPERIMENTAL BIOLOGY","0022-0949","223","22",NA,"2020","COMPANY BIOLOGISTS LTD","10.1242/jeb.220152","Developmental exposure of embryos to maternal hormones such as testosterone in the avian egg influences the expression of multiple traits, with certain effects being sex specific and lasting into adulthood. This pleiotropy, sex dependency and persistency may be the consequence of developmental programming of basic systemic processes such as adrenocortical activity or metabolic rate. We investigated whether experimentally increased in ovo exposure to testosterone influenced hypothalamus-pituitary-adrenal function, i.e. baseline and stress-induced corticosterone secretion, and resting metabolic rate (RMR) of adult male and female house sparrows (Passer domesticus). In previous experiments with this passerine bird we demonstrated effects of embryonic testosterone exposure on adult agonistic and sexual behavior and survival. Here we report that baseline corticosterone levels and the stress secretion profile of corticosterone are modified by in ovo testosterone in a sex-specific and life history stage-dependent manner. Compared with controls, males from testosterone-treated eggs had higher baseline corticosterone levels, whereas females from testosterone-treated eggs showed prolonged stress-induced corticosterone secretion during the reproductive but not the non-reproductive phase. Adult RMR was unaffected by in ovo testosterone treatment but correlated with integrated corticosterone stress secretion levels. We conclude that exposure of the embryo to testosterone programs the hypothalamus- pituitary-adrenal axis in a sex-specific manner that in females depends, in expression, on reproductive state. The modified baseline corticosterone levels in males and stress-induced corticosterone levels in females may explain some of the long-lasting effects of maternal testosterone in the egg on behavior and could be linked to previously observed reduced mortality of testosterone-treated females."
"X.ISI.000590598700013","Testing different forms of regulation of yolk thyroid hormone transfer in pied flycatchers","Sarraude, Tom and Hsu, Bin-Yan and Groothuis, Ton G. G. and Ruuskanen, Suvi","JOURNAL OF EXPERIMENTAL BIOLOGY","0022-0949","223","21",NA,"2020","COMPANY BIOLOGISTS LTD","10.1242/jeb.226688","Hormones transferred from mothers to their offspring are considered a maternal tool to prepare progeny for expected environmental conditions, increasing maternal and offspring fitness. To flexibly influence offspring, mothers should be able to transmit the hormonal signals independent of their own hormonal status. However, the ability to regulate hormone transfer to the next generation is under debate. We studied the transfer of thyroid hormones (THs) to eggs in a bird model. We elevated thyroxine (T-4, the prohormone for the biologically active triiodothyronine, T-3) during egg laying using T-4 implants in females of a wild population of pied flycatchers (Ficedula hypoleuca), and measured the resulting plasma and yolk T-4 and T-3 levels. We found an increase in plasma and yolk T-4 and no change in plasma or yolk T-3 concentration, leading to a decrease in yolk T-3/T-4 ratio in response to the T-4 treatment. The yolk T-3/T-4 ratio was similar to the plasma ratio in females during the yolking phase. This suggests that mothers are not able to regulate TH transfer to yolk but may regulate the T-4 to T-3 conversion to avoid potential costs of elevated exposure to the active hormone to herself and to her progeny. The absence of regulation in hormone transfer to eggs is in contrast to our predictions. Future studies on deiodinase activity that converts T-4 to T-3 in maternal and embryonic tissues may help our understanding of how mothers regulate circulating THs during breeding, as well as the embryos' role in converting maternal T-4 to its biologically active T-3 form during development."
"X.ISI.000588672600001","Mimicking Transgenerational Signals of Future Stress: Thermal Tolerance of Juvenile Chinook Salmon Is More Sensitive to Elevated Rearing Temperature Than Exogenously Increased Egg Cortisol","Warriner, Theresa R. and Semeniuk, Christina A. D. and Pitcher, Trevor E. and Heath, Daniel D. and Love, Oliver P.","FRONTIERS IN ECOLOGY AND EVOLUTION","2296-701X","8",NA,NA,"2020","FRONTIERS MEDIA SA","10.3389/fevo.2020.548939","Elevated temperatures resulting from climate change are expected to disproportionately affect ectotherms given their biological function has a direct link to environmental temperature. Thus, as climate change leads to rapid increases in water temperatures in rivers, aquatic ectotherms, such as fish may be highly impacted. Organisms can respond to these stressors through flexible and rapid phenotypic change induced via developmental and/or transgenerational plasticity. In oviparous species, gravid females may translate environmental stress across generations via increased exposure of eggs to maternally derived glucocorticoids (i.e., maternal stress), which has been shown to result in diverse phenotypic effects in offspring. Recent studies suggest these phenotypic changes from maternal glucocorticoids may elicit predictive adaptive responses, where offspring exposed to maternal stress may be better prepared for the stressful environment they will encounter (i.e., environmental match hypothesis). We applied the environmental match hypothesis to examine whether a prenatal exogenous increase in egg cortisol may prepare Chinook salmon offspring (Oncorhynchus tshawytscha) to cope with thermal challenges after being reared in chronically elevated temperatures. Specifically, we exposed eggs to aqueous bath of cortisol-dosed (1,000 ng/mL) or control (0 ng/ml) solutions, and then raised both treatments at current (+0 degrees C-contemporary ambient river temperature) or elevated (+3 degrees C-projected future river temperature) thermal regimes. We quantified thermal performance in fish 7-9 month post fertilization using two methods: via critical thermal maximum (CTMax), and energetic responses (in plasma cortisol, glucose, and lactate) to environmentally relevant, but challenging thermal spikes over 3 days. Overall, we found that exposure to elevated rearing temperatures had a large impact on thermal tolerance, where elevated-temperature reared offspring had significantly higher CTMax. In comparison, egg cortisol treatment had little to no clear effects on CTMax and blood energetic response. Our study demonstrates the importance of elevated water temperatures as an inducer of offspring phenotypes (via early developmental cues), and highlights the significance of examining offspring performance in environments with ecologically relevant stressors."
"X.ISI.000541681500001","Yolk immunoreactive corticosterone does not relate with maternal fecal glucocorticoids in a captive population of Greater Rheas (Rhea americana)","Della Costa, Natalia S. and Navarro, Joaquin L. and Marin, Raul H. and Martella, Monica B.","JOURNAL OF ORNITHOLOGY","2193-7192","161","4","1025-1032","2020","SPRINGER HEIDELBERG","10.1007/s10336-020-01796-3 Early Access Date = {{JUN 2020","Maternal corticosterone in avian egg yolks may signal and prepare offspring for the prevailing conditions. However, this adjustment requires flexible mechanisms of regulation that lead to the absence of a correlation between hormone levels in the mother and the yolk. In this study, we examined whether yolk immunoreactive corticosterone and maternal glucocorticoid levels are related in the Greater Rhea (Rhea americana), a ratite species with a communal nesting system. During the intermediate laying period of the season, we carried out daily nest-observations to collect those eggs in which the laying female was identified. We also collected fresh fecal samples from the identified laying females to quantify their fecal glucocorticoid metabolite (FGM) levels during the yolk formation period (7 days before egg-laying). Yolk immunoreactive corticosterone and FGM levels were measured using a corticosterone(125)radioimmunoassay kit, previously validated for the species. No significant relationships were found between female FGM and yolk immunoreactive corticosterone. Although futures studies are needed to elucidate the underlying mechanisms, our results suggest that Greater Rhea female may be able to control the distribution of corticosterone into their yolks, supporting the idea that this hormone may be mediating an adaptive maternal effect."
"X.ISI.000562162800027","Effects of parental exposure to glyphosate-based herbicides on embryonic development and oxidative status: a long-term experiment in a bird model","Ruuskanen, Suvi and Rainio, Miia J. and Uusitalo, Maiju and Saikkonen, Kari and Helander, Marjo","SCIENTIFIC REPORTS","2045-2322","10","1",NA,"2020","NATURE PUBLISHING GROUP","10.1038/s41598-020-63365-1","Controversial glyphosate-based herbicides (GBHs) are the most frequently used herbicides globally. GBH residues are detected in soil, water, crops, and food products, potentially exposing non-target organisms to health risks; these organisms include wildlife, livestock, and humans. However, the potential for GBH-related parental effects are poorly understood. In the case of birds, GBHs may be transferred directly from mothers to eggs, or they may indirectly influence offspring performance by altered maternal resource allocation to eggs. We experimentally exposed a parental generation of Japanese quails (Coturnix japonica) to GBHs (200mg/kg feed) or respective controls. Glyphosate residues were found in eggs (ca 0.76kg/mg). Embryonic development tended to be poorer in the eggs of GBH-exposed parents (76\% of eggs showed normal development) compared to control parents (89\% normal eggs). Embryonic brain tissue from GBH-exposed parents tended to express more lipid damage (20\% higher), yet other biomarkers showed no apparent differences. We detected no differences in egg quality (egg, yolk, or shell mass, egg hormone concentration) across the treatment groups. Given this is the first long-term study testing parental effects of GBHs with birds, more studies are needed characterizing GBH-associated changes in maternal allocation and for example epigenetic programming."
"X.ISI.000518653800006","Interaction of egg cortisol and offspring experience influences stress-related behaviour and physiology in lake sturgeon","Wassink, Lydia and Huerta, Belinda and Li, Weiming and Scribner, Kim","ANIMAL BEHAVIOUR","0003-3472","161",NA,"49-59","2020","ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD","10.1016/j.anbehav.2020.01.001","Quantifying transgenerational effects of stress is important to predict outcomes of anthropogenic disturbances for wildlife species. Maternal stress can programme physiological and behavioural phenotypes in offspring, which may be maladaptive if maternal and offspring environments are mismatched. We investigated effects of a match and mismatch between egg cortisol and offspring stress levels in lake sturgeon, Acipenser fulvescens, using artificially elevated egg cortisol levels (simulating maternal stress) and a chronic unpredictable stress regime for offspring after hatch. Offspring cortisol levels were quantified at baseline and after an acute stressor. Multiple measures of offspring swimming activity were assessed in behaviour trials. Individuals that experienced elevated egg cortisol and high offspring stress exhibited a diminished cortisol response to an acute stressor, but responses varied among offspring from different families. Results suggest that the interaction between maternal and offspring experience may cue an offspring phenotype that is adaptive in high-stress conditions. Principal components analysis characterizing interindividual variation in offspring behavioural variables showed that treatment significantly affected multivariate offspring response along the PC1 axis (associated with inactivity), and both treatment and family significantly affected response along the PC2 axis (associated with shorter distance moved). The largest differences for PC1 occurred between the `mismatch' treatments (high egg cortisol and low offspring stress exhibiting lower activity; low egg cortisol and high offspring stress exhibiting higher activity), indicating that the combination of egg cortisol and offspring stress is more important in determining offspring behaviour than is egg cortisol or offspring stress alone. Findings suggest that family effects, such as genetic components or maternal experience, may mediate how the interaction of maternal and offspring stress influences offspring physiological and behavioural outcomes, and indicate the need for further research into environmental factors experienced by females that influence how offspring respond to egg cortisol and early life stress. (C) 2020 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved."
"X.ISI.000510776600001","Maternal effects and urbanization: Variation of yolk androgens and immunoglobulin in city and forest blackbirds","Partecke, Jesko and Hegyi, Gergely and Fitze, Patrick S. and Gasparini, Julien and Schwabl, Hubert","ECOLOGY AND EVOLUTION","2045-7758","10","4","2213-2224","2020","WILEY","10.1002/ece3.6058 Early Access Date = {{FEB 2020","Wildlife inhabiting urban environments exhibit drastic changes in morphology, physiology, and behavior. It has often been argued that these phenotypic responses could be the result of micro-evolutionary changes following the urbanization process. However, other mechanisms such as phenotypic plasticity, maternal effects, and developmental plasticity could be involved as well. To address maternal effects as potential mechanisms, we compared maternal hormone and antibody concentrations in eggs between city and forest populations of European blackbirds (Turdus merula), a widely distributed species for which previous research demonstrated differences in behavioral and physiological traits. We measured egg and yolk mass, yolk concentrations of androgens (androstenedione {[}A(4)], testosterone {[}T], 5 alpha-dihydrotestosterone {[}5 alpha-DHT], and immunoglobulins {[}IgY]) and related them to population, clutch size, laying order, embryo sex, and progress of breeding season. We show (a) earlier onset of laying in the city than forest population, but similar egg and clutch size; (b) higher overall yolk androgen concentrations in the forest than the city population (sex-dependent for T); (c) greater among-female variation of yolk T and 5 alpha-DHT concentrations in the forest than city population, but similar within-clutch variation; (d) similar IgY concentrations with a seasonal decline in both populations; and (e) population-specific positive (city) or negative (forest) association of yolk A(4) and T with IgY concentrations. Our results are consistent with the hypotheses that hormone-mediated maternal effects contribute to differences in behavioral and physiological traits between city and forest individuals and that yolk androgen and immunoglobulin levels can exhibit population-specific relationships rather than trade-off against each other."
"X.ISI.000541821000005","Characterizing the timing of yolk testosterone metabolism and the effects of etiocholanolone on development in avian eggs","Campbell, Nicole A. and Angles, Rachel and Bowden, Rachel M. and Casto, Joseph M. and Paitz, Ryan T.","JOURNAL OF EXPERIMENTAL BIOLOGY","0022-0949","223","4",NA,"2020","COMPANY BIOLOGISTS LTD","10.1242/jeb.210427","Maternal transfer of steroids to eggs can elicit permanent effects on offspring phenotype. Although testosterone was thought to be a key mediator of maternal effects in birds, we now know that vertebrate embryos actively regulate their exposure to maternal testosterone through steroid metabolism, suggesting testosterone metabolites, not testosterone, may elicit the observed phenotypic effects. To address the role steroid metabolism plays in mediating yolk testosterone effects, we used European starling (Sturnus vulgaris) eggs to characterize the timing of testosterone metabolism and determine whether etiocholanolone, a prominent metabolite of testosterone in avian embryos, is capable of affecting early embryonic development. Tritiated testosterone was injected into freshly laid eggs to characterize steroid movement and metabolism during early development. Varying levels of etiocholanolone were also injected into eggs, with incubation for either 3 or 5 days, to test whether etiocholanolone influences the early growth of embryonic tissues. The conversion of testosterone to etiocholanolonewas initiated within 12 h of injection, but the increase in etiocholanolone was transient, indicating that etiocholanolone is also subject to metabolism, and that exposure to maternal etiocholanolone is limited to a short period during early development. Exogenous etiocholanolone manipulation had no significant effect on the growth rate of the embryos or extraembryonic membranes early in development. Thus, the conversion of testosterone to etiocholanolone may be an inactivation pathway that buffers the embryo from maternal steroids, with any effects of yolk testosterone resulting from testosterone that escapes metabolism; alternatively, etiocholanolone may influence processes other than growth or take additional time to manifest."
