key,title,authors,journal,issn,volume,issue,pages,day,month,year,publisher,pmc_id,pubmed,url,abstract,notes
Salazar.Nicholls2021333,A polymorphism in oocyte pigmentation in natural populations of the glass frog espadarana prosoblepon (Centrolenidae),"Salazar-Nicholls, M.J. and Hervas, F. and MuÃ±oz-Tobar, S.I. and Carrillo, A.-B. and Ricaurte, H. and Ron, S.R. and Romero-Carvajal, A.",International Journal of Developmental Biology,2146282,65,6-May,333-344,,,2021,UPV/EHU Press,,,10.1387/ijdb.200074ar,"The adaptive role of amphibian oocyte melanic pigmentation and its molecular control are still elusive. Here we present evidence of a polymorphism in egg pigmentation in the emerald glass frog Espadarana prosoblepon. In Ecuadorian natural populations of this species, females can lay dark brown or pale eggs that develop into normal pigmented tadpoles and adults. This trait is a sex-limited phenotype which is inherited like a recessive allele that we called pale eggs like (pel). The pel phenotype is exclusive of oocyte cortical melanic pigmentation, which is reduced in comparison to wild type (wt) dark pigmented oocytes. Consequently, pel early embryos are paler in appearance, with reduced melanic pigmentation distributed to early blastomeres and embryonic ectoderm. However, these embryos form normal melanocyte derived pigmentation. Finally, we discuss the origin of this polymorphism and propose the use of E. prosoblepon as a model to study the adaptive role of egg pigmentation. Â© 2020 UPV/EHU Press Printed in Spain. ",
Dickins2021,â€œPunishingâ€ pecks and â€œsiblicidalâ€ pecks in kittiwake (tridactyla) chicks,"Dickins, D.W.",Learning and Motivation,239690,73,NA,NA,,,2021,Academic Press Inc.,,,10.1016/j.lmot.2020.101695,"The Black-legged Kittiwake gull (Rissa tridactyla) is noted for its suite of evolutionary adaptations to its extreme cliff-nesting habitat (Cullen, 1957) which distinguish it behaviourally in a number of ways from other gulls (Laridae). One such behaviour we observed was siblicide, the death of one chick from falling out of the nest as a consequence of agonistic harassment by the other (Dickins et al., 1985). This harassment involved what we termed â€œsiblicidal pecksâ€ inflicted by the dominant chick on its younger sib, not in the context of feeding. These we distinguished observationally from â€œpunishing pecksâ€, also made by the dominant chick on its brood mate, specifically when the latter was begging for food from a parent, causing it to stop this behaviour in the short term. Though the evolution of siblicide initially seemed to present a paradox for Inclusive fitness theory it was soon seen to be a logical corollary thereof (O'Connor, 1978) (D. Mock & Parker, 1998), and dependent upon key ecological variables. A number of subsequent studies of these factors in the kittiwake, largely from the ecological and ornithological literature, are here collated, and it is considered how these might be integrated with the application of concepts from operant psychology to chick and parent behaviours (Reed, 2015), to give a full account. Â© 2020 Elsevier Inc. ",
Mariette2021722,Acoustic developmental programming: a mechanistic and evolutionary framework,"Mariette, M.M. and Clayton, D.F. and Buchanan, K.L.",Trends in Ecology and Evolution,1695347,36,8,722-736,,,2021,Elsevier Ltd,,,10.1016/j.tree.2021.04.007,"Conditions experienced prenatally, by modulating developmental processes, have lifelong effects on individual phenotypes and fitness, ultimately influencing population dynamics. In addition to maternal biochemical cues, prenatal sound is emerging as a potent alternative source of information to direct embryonic development. Recent evidence suggests that prenatal acoustic signals can program individual phenotypes for predicted postnatal environmental conditions, which improves fitness. Across taxonomic groups, embryos have now been shown to have immediate adaptive responses to external sounds and vibrations, and direct developmental effects of sound and noise are increasingly found. Establishing the full developmental, ecological, and evolutionary impact of early soundscapes will reveal how embryos interact with the external world, and potentially transform our understanding of developmental plasticity and adaptation to changing environments. Â© 2021 Elsevier Ltd",
Grant2020,Across time and space: Hormonal variation across temporal and spatial scales in relation to nesting success,"Grant, A.R. and Baldan, D. and Kimball, M.G. and Malisch, J.L. and Ouyang, J.Q.",General and Comparative Endocrinology,166480,292,NA,NA,,,2020,Academic Press Inc.,,,10.1016/j.ygcen.2020.113462,"There is a renewed interest in investigating individual variation in hormone levels in relation to fitness metrics, as hormones act as mediators of life-history trade-offs. Hormone concentrations, however, are labile, responding to both internal and external stimuli, so the relationship between hormones and fitness can be non-consistent. One explanation of this inconsistent relationship is that a single hormone sample may not be representative of individual phenotypes in a free-living species. We addressed this issue by repeatedly sampling a free-living population of mountain white-crowned sparrows, Zonotrichia leucophrys oriantha, for baseline and stress-induced corticosterone (cort) and testosterone (T) across different stages of the breeding season. We measured (co)variation using three different methods, taking into account inter- and intra-individual variances, to determine whether hormone levels and the stress response are repeatable. We documented the temporal (over 3 months) and spatial (home-range) variation of individual hormone phenotypes and investigated how these components related to nesting success. At the population level, we found significant repeatability in male stress-induced cort concentrations but no repeatability in male or female baseline cort or male T concentrations. Using a new metric of intra-individual variance focusing on the stress response (profile repeatability), we found a wide range of variance scores, with most individuals showing high variation in their stress response. Similarly, we found a low level of repeatability of the reaction norm intercept and slope for the stress response across different life-history stages. Males with higher concentrations of stress-induced cort had more central home-ranges. Males with higher body condition had larger home-ranges; however, home-range size did not relate to male hormone concentrations or nesting success. We also did not find any significant relationship between variation in hormone levels and nesting success. We recommend that future studies combine both physiological and environmental components to better understand the relationship between hormones and fitness. Â© 2020 Elsevier Inc.",
Sirki.U.00C3..U.00A4.20211501,Adaptive coloration in pied flycatchers (Ficedula hypoleuca)â€”The devil is in the detail,"SirkiÃ¤, P.M. and QvarnstrÃ¶m, A.",Ecology and Evolution,20457758,11,4,1501-1525,,,2021,John Wiley and Sons Ltd,,,10.1002/ece3.7048,"Understanding the origin and persistence of phenotypic variation within and among populations is a major goal in evolutionary biology. However, the eagerness to find unadulterated explanatory models in combination with difficulties in publishing replicated studies may lead to severe underestimations of the complexity of selection patterns acting in nature. One striking example is variation in plumage coloration in birds, where the default adaptive explanation often is that brightly colored individuals signal superior quality across environmental conditions and therefore always should be favored by directional mate choice. Here, we review studies on the proximate determination and adaptive function of coloration traits in male pied flycatchers (Ficedula hypoleuca). From numerous studies, we can conclude that the dark male color phenotype is adapted to a typical northern climate and functions as a dominance signal in maleâ€“male competition over nesting sites, and that the browner phenotypes are favored by relaxed intraspecific competition with more dominant male collared flycatchers (Ficedula albicollis) in areas where the two species co-occur. However, the role of avoidance of hybridization in driving character displacement in plumage between these two species may not be as important as initially thought. The direction of female choice on male coloration in pied flycatchers is not simply as opposite in direction in sympatry and allopatry as traditionally expected, but varies also in relation to additional contexts such as climate variation. While some of the heterogeneity in the observed relationships between coloration and fitness probably indicate type 1 errors, we strongly argue that environmental heterogeneity and context-dependent selection play important roles in explaining plumage color variation in this species, which probably also is the case in many other species studied in less detail. Â© 2021 The Authors. Ecology and Evolution published by John Wiley & Sons Ltd.",
Lambert2021239,Adaptive Evolution in Cities: Progress and Misconceptions,"Lambert, M.R. and Brans, K.I. and Des Roches, S. and Donihue, C.M. and Diamond, S.E.",Trends in Ecology and Evolution,1695347,36,3,239-257,,,2021,Elsevier Ltd,,,10.1016/j.tree.2020.11.002,"Current narratives suggest that urban adaptation â€“ the adaptive evolution of organisms to cities â€“ is pervasive across taxa and cities. However, in reviewing hundreds of studies, we find only six comprehensive examples of species adaptively evolving to urbanization. We discuss the utility and shortcomings of methods for studying urban adaptation. We then review diverse systems offering preliminary evidence for urban adaptation and outline a research program for advancing its study. Urban environments constitute diverse, interacting selective agents that test the limits of adaptation. Understanding urban adaptation therefore offers unique opportunities for addressing fundamental questions in evolutionary biology and for better conserving biodiversity in cities. However, capitalizing on these opportunities requires appropriate research methods and dissemination of accurate narratives. Â© 2020 Elsevier Ltd",
Hall20201242,"Adaptive seasonal shift towards investment in fewer, larger offspring: Evidence from field and laboratory studies","Hall, J.M. and Mitchell, T.S. and Thawley, C.J. and Stroud, J.T. and Warner, D.A.",Journal of Animal Ecology,218790,89,5,1242-1253,,,2020,Blackwell Publishing Ltd,,,10.1111/1365-2656.13182,"Seasonal changes in reproduction have been described for many taxa. As reproductive seasons progress, females often shift from greater energetic investment in many small offspring towards investing less total energy into fewer, better provisioned (i.e. larger) offspring. The underlying causes of this pattern have not been assessed in many systems. Two primary hypotheses have been proposed to explain these patterns. The first is an adaptive hypothesis from life-history theory: early offspring have a survival advantage over those produced later. Accordingly, selection favours females that invest in offspring quantity early in the season and offspring quality later. The second hypothesis suggests these patterns are not intrinsic but result from passive responses to seasonal changes in the environment experienced by reproducing females (i.e. maternal environment). To disentangle the causes underlying this pattern, which has been reported in brown anole lizards (Anolis sagrei), we performed complementary field and laboratory studies. The laboratory study carefully controlled maternal environments and quantified reproductive patterns throughout the reproductive season for each female. The field study measured similar metrics from free ranging lizards across an entire reproductive season. In the laboratory, females increased relative effort per offspring as the reproductive season progressed; smaller eggs were laid earlier, larger eggs were laid later. Moreover, we observed significant among-individual variation in seasonal changes in reproduction, which is necessary for traits to evolve via natural selection. Because these patterns consistently emerge under controlled laboratory conditions, they likely represent an intrinsic and potentially adaptive adjustment of reproductive effort as predicted by life-history theory. The field study revealed similar trends, further suggesting that intrinsic patterns observed in the laboratory are strong enough to persist despite the environmental variability that characterizes natural habitats. The observed patterns are indicative of an adaptive seasonal shift in parental investment in response to a deteriorating offspring environment: allocating greater resources to late-produced offspring likely enhances maternal fitness. Â© 2020 British Ecological Society",
Videla2022,Age matters: Differential effects of the exposure to elevated environmental temperatures on representative variables of the immune system in juvenile and adult female Japanese quail.,"Videla, E.A. and Tortone, S.M. and Marin, R.H. and Nazar, F.N.",Journal of Thermal Biology,3064565,107,NA,NA,,,2022,Elsevier Ltd,,,10.1016/j.jtherbio.2022.103257,"Several days under the influence of high environmental temperature negatively impact on some immune-related variables of poultry species. However, it is little known whether this exposure affects differentially the immune response on different life stages. This study was aimed at characterizing the immune responses of juvenile and adult female Japanese quail (Coturnix coturnix) when exposed to a cyclic chronic heat stressor. Independent sets of juvenile (24) and adult (21) female Japanese quail were bred under thermoneutral conditions or exposed to an increasing temperature from 24 Â°C to 34 Â°C, for 8 h along nine consecutive days (chronic heat stressor). The inflammatory response against a mitogen, the antibody production against a non-pathogenic antigen and the heterophil to lymphocyte (H/L) ratio were measured after the ninth day of chronic heat exposure. Adult females had a more robust inflammatory response compared to their juvenile counterpart. The inflammatory response, the production of antibodies, and the H/L ratio were suppressed by the chronic heat stressor in the juvenile females; while in their adult counterpart, the production of antibodies was not affected by the chronic heat stress. Under the exposure of high environmental temperatures, juvenile females would be more susceptible to potentially harmful pathogens that require a robust immune response, while their adult counterparts would be able to mount an optimal acquired immune response against pathogens requiring this type of response. Our findings suggest that while heat stress during breeding should be avoided in both juvenile and adult females, more precautions should be taken during early life stages. Â© 2022 Elsevier Ltd ",
Daujat.Chavanieu2020,"Albumin is a secret factor involved in multidirectional interactions among the serotoninergic, immune and endocrine systems that supervises the mechanism of CYP1A and CYP3A regulation in the liver","Daujat-Chavanieu, M. and Kot, M.",Pharmacology and Therapeutics,1637258,215,NA,NA,,,2020,Elsevier Inc.,,,10.1016/j.pharmthera.2020.107616,"This review focuses on albumin, which is involved in multidirectional interactions among the immune, endocrine and serotoninergic systems and supervises the regulation of cytochrome P450 (CYP) isoforms under conditions of both normal liver function and liver insufficiency. Special attention is paid to albumin, thyroid hormones, testosterone and tryptophan hydroxylase in these interactions as well as their potential roles in liver regeneration. The association of these factors with inflammation and the modification of the mechanism of hepatic drug-metabolizing CYP isoform regulation are also presented because changes in the expression of CYP isoforms in the liver may result in subsequent changes to a marker substance used for testing CYP activity, thus providing a simple way to control the liver regeneration process or the dangerous stimulation of hepatocarcinogenesis. Â© 2020 The Authors ",
Zeng2022743,Amplification of porcine CYP11A1 gene coding region and identification and analysis of core promoter region [çŒªCYP11A1åŸºå› ç¼–ç åŒºæ‰©å¢žåŠæ ¸å¿ƒå¯åŠ¨å­åŒºçš„é‰´å®šä¸Žåˆ†æž],"Zeng, Q. and Guan, Q. and Wang, S. and Li, Q. and Du, X.",Journal of Nanjing Agricultural University,10002030,45,4,743-751,,,2022,Editorial Department of Journal of Nanjing Agricultural University,,,10.7685/jnau.202109009,"[Objectives] This paper aimed to amplify the coding region of the pig CYP11A1 gene, identify and analyze its core promoter region, and explore the transcription regulation mechanism of the pig CYP11A1 gene. [Methods] The full sequence of the pig CYP11A1 gene coding region was obtained through gene cloning and amplification technology, and its sequence characteristics was analyzed. Luciferase activity test was used to identify the core promoter region, and bioinformatics was used to identify the methylation sites and potential transcription factor binding sites of CYP11A1. Western blot, RT-qPCR and Chromatin immunoprecipitation(ChIP) were used to analyze the regulatory function of transcription factor NR2C1 on porcine CYP11A1 gene transcription. [Results] The total length of the coding region of the pig CYP11A1 gene was 1563 bp, which was highly conserved in the evolution of mammals. The core promoter region of pig CYP11A1 gene was located at -398 to -108 bp(transcription start site was+1). Sequence analysis revealed that there were many important transcription factor binding elements on it, including NR2C1, SOX10, NFIX and ELF5, etc. The activity of the core promoter region of the CYP11A1 gene was promoted by NR2C1, and the expression of the CYP11A1 gene in porcine ovarian granulosa cells cultured in vitro also was significantly up-regulated. [Conclusions] Our findings indicated that the mammalian CYP11A1 gene was highly conserved in the evolutionary process and its transcription in porcine ovarian granulosa cells was promoted by the transcription factor NR2C1. Â© 2022 Editorial Department of Journal of Nanjing Agricultural University. All rights reserved.",
Breed20211,Animal Behavior,"Breed, M.D. and Moore, J.",Animal Behavior,NA,NA,NA,1-588,,,2021,Elsevier,,,10.1016/B978-0-12-819558-1.00019-1,"Animal Behavior, Third Edition covers animal behavior from its neurological underpinnings to the importance of behavior in conservation. The bookâ€™s authors, Michael Breed and Janice Moore, bring almost 60 years of combined experience as university professors, much of that teaching animal behavior. Chapters cover this social behavior and the relationship between parasites, pathogens and behavior. Thoughtful coverage has also been given to foraging behavior, mating and parenting behavior, anti-predator behavior, and learning. The book addresses the physiological foundations of behavior in a way that is both accessible and inviting, with each chapter beginning with learning objectives and ending with thought-provoking questions. Additionally, special terms and definitions are highlighted throughout, making this book an essential work for students and academic seeking a foundation in the field. Â© 2022 Elsevier Inc. All rights reserved.",
Martinig2022221,Animal personality: a comparison of standardized assays and focal observations in North American red squirrels,"Martinig, A.R. and Karst, H.J. and Siracusa, E.R. and Studd, E.K. and McAdam, A.G. and Dantzer, B. and Delaney, D.M. and Lane, J.E. and Pokharel, P. and Boutin, S.",Animal Behaviour,33472,190,NA,221-232,,,2022,Academic Press,,,10.1016/j.anbehav.2022.05.012,"As interest in animal personality research grows, methodologies for quantifying consistent among-individual differences in behaviour are expanding. Two of the most common methods for quantifying animal personality are standardized behavioural assays and focal animal sampling. We evaluated whether assays and focals provided similar animal personality measures in a wild population of free-ranging North American red squirrels, Tamiasciurus hudsonicus, by comparing the among-individual correlations of traits between methods. Assays described two behavioural axesâ€”one associated with movement behaviours and another associated with antagonistic behaviours towards conspecifics. Focals described two additional behavioural axesâ€”one associated with movement and territorial behaviours, and another associated with the trade-off between vigilant and feeding behaviours. Although we found evidence of high trait repeatability for behavioural axes measured with assays, both focal behavioural axes had low trait repeatability regardless of whether among-individual differences in the social environment were controlled for (i.e. to account for â€˜pseudopersonalityâ€™). We also found no among-individual correlations between assay and focal behavioural axes. The lack of correlation between methods may be because the dominant axes of variation differ between methods or because of the low trait repeatability of focals due to high behavioural plasticity. Given this, we conclude that assays will likely remain the mainstay for measuring consistent among-individual differences in behaviour given their ability to standardize for environmental conditions. Â© 2022 The Association for the Study of Animal Behaviour",
