StudyID,Title,Year,Authors_all,Journal,DOI
rayyan-123813945,"Acute embryonic exposure to corticosterone alters physiology, behaviour and growth in nestlings of a wild passerine",2016,"Tilgar, Vallo and Magi, Marko and Lind, Marianne and Lodjak, Jaanis and Moks, Kadri and Mand, Raivo",Hormones and Behaviour,10.1016/j.yhbeh.2016.06.008
rayyan-123814021,Avian mothers create different phenotypes by hormone deposition in their eggs,2006,"Eising, C.M. and Müller, W. and Groothuis, T.G.G.",Biology Letters,10.1098/rsbl.2005.0391
rayyan-123814059,Brood Reduction via Intra-clutch Variation in Testosterone - An Experimental Test in the Great Tit,2013,"Podlas, K. and Helfenstein, F. and Richner, H.",PLoS ONE,10.1371/journal.pone.0056672
rayyan-123814207,Developmental programming of the adrenocortical stress response by yolk testosterone depends on sex and life history stage,2020,"Schwabl, H. and Partecke, J.",Journal of Experimental Biology,10.1242/jeb.220152
rayyan-123814230,Differential effects of maternal yolk androgens on male and female offspring: A role for sex-specific selection?,2015,"Tschirren, B.",Plos One,10.1371/journal.pone.0133673
rayyan-123814234,Differential effects of yolk testosterone and androstenedione in embryo development and nestling growth in the spotless starling (Sturnus unicolor),2013,"Muriel, J. and Prez-Rodrguez, L. and Puerta, M. and Gil, D.",General and Comparative Endocrinology,10.1016/j.ygcen.2013.09.013
rayyan-123814348,"Effects of elevated egg corticosterone levels on behavior, growth, and immunity of yellow-legged gull (Larus michahellis) chicks",2005,"Rubolini, D. and Romano, M. and Boncoraglio, G. and Ferrari, R.P. and Martinelli, R. and Galeotti, P. and Fasola, M. and Saino, N.",Hormones and Behavior,10.1016/j.yhbeh.2005.01.006
rayyan-123814350,"Effects of elevated yolk testosterone levels on survival, growth and immunity of male and female yellow-legged gull chicks",2006,"Rubolini, D. and Romano, M. and Martinelli, R. and Saino, N.",Behavioral Ecology and Sociobiology,10.1007/s00265-005-0057-0
rayyan-123814355,Effects of experimentally manipulated yolk thyroid hormone levels on offspring development in a wild bird species,2016,"Ruuskanen, Suvi and Darras, Veerle M. and Visser, Marcel E. and Groothuis, Ton G. G.",Hormones and Behavior,10.1016/j.yhbeh.2016.03.006
rayyan-123814394,Egg corticosterone can stimulate telomerase activity and promote longer telomeres during embryo development,2020,"Noguera, Jose C. and da Silva, Alberto and Velando, Alberto",Molecular Ecology,10.1111/mec.15694 
rayyan-123814425,Elevated corticosterone during egg production elicits increased maternal investment and promotes nestling growth in a wild songbird,2016,"Bowers, E. Keith and Bowden, Rachel M. and Thompson, Charles F. and Sakaluk, Scott K.",Hormones and Behavior,10.1016/j.yhbeh.2016.05.010
rayyan-123815660,Yolk androgens reduce offspring survival,2000,"Sockman, KW and Schwabl, H",Proceedings of the Royal Society B: Biological Sciences,10.1098/rspb.2000.1163
rayyan-123815653,Yolk androgens and begging behaviour in black-headed gull chicks: An experimental field study,2003,"Eising, C.M. and Groothuis, T.G.G.",Animal Behaviour,10.1006/anbe.2003.2287
rayyan-123814861,"Maternal condition, yolk androgens and offspring performance: A supplemental feeding experiment in the lesser black-backed gull (Larus fuscus)",2003,"Verboven, N. and Monaghan, P. and Evans, D.M. and Schwabl, H. and Evans, N. and Whitelaw, C. and Nager, R.G.",Proceedings of the Royal Society B: Biological Sciences,10.1098/rspb.2003.2496
rayyan-123814466,European starling chicks benefit from high yolk testosterone levels during a drought year,2004,"Pilz, KM and Quiroga, M and Schwabl, H and Adkins-Regan, E",Hormones and Behavior,10.1016/j.yhbeh.2004.03.004
rayyan-123815688,Yolk testosterone organizes behavior and male plumage coloration in house sparrows (Passer domesticus),2004,"Strasser, R. and Schwabl, H.",Behavioral Ecology and Sociobiology,10.1007/s00265-004-0810-9
rayyan-123814130,Consequences of elevating plasma testosterone in females of a socially monogamous songbird: Evidence of constraints on male evolution?,2004,"Clotfelter, E.D. and O'Neal, D.M. and Gaudioso, J.M. and Casto, J.M. and Parker-Renga, I.M. and Snajdr, E.A. and Duffy, D.L. and Nolan Jr., V. and Ketterson, E.D.",Hormones and Behavior,10.1016/j.yhbeh.2004.03.003
rayyan-123814950,Maternal yolk testosterone does not modulate parasite susceptibility or immune function in great tit nestlings,2005,"Tschirren, B. and Saladin, V. and Fitze, P.S. and Schwabl, H. and Richner, H.",Journal of Animal Ecology,10.1111/j.1365-2656.2005.00963.x
rayyan-123815183,Prenatal androgen exposure modulates cellular and humoral immune function of black-headed gull chicks,2005,"Müller, W. and Groothuis, T.G.G. and Kasprzik, A. and Dijkstra, C. and Alatalo, R.V. and Siitari, H.",Proceedings of the Royal Society B: Biological Sciences,10.1098/rspb.2005.3178
rayyan-123815411,Stress hormones: A link between maternal condition and sex-biased reproductive investment,2005,"Love, O.P. and Chin, E.H. and Wynne-Edwards, K.E. and Williams, T.D.",American Naturalist,10.1086/497440
rayyan-123815602,"Variable effects of yolk androgens on growth, survival, and immunity in eastern bluebird nestlings",2005,"Navara, K.J. and Hill, G.E. and Mendona, M.T.",Physiological and Biochemical Zoology,10.1086/430689
