Include,StudyID,GroupID,LaboratoryID,PopulationID,EffectID,Title,Year,Authors_all,Lab_PI,Journal,DOI,Species,Developmental_mode,Mean_clutch_size,SD_clutch_size,SE_clutch_size,Focal_clutch_number,Max_clutch_number,Study_area,Lat_study_area,Long_study_area,Elev_study_area,Year_collection,Study_type,Egg_n_collected,Time_collection,Egg_sampl_method,Egg_store,Egg_homog,Egg_homog_name,Site_horm_measured,Horm_measured,Horm_extracted_colum,Method_horm_meas,AntibodyKit,Horm_units,Horm_mean,Horm_Var,Horm_Var_Type,Exp_mother_egg,Method_mother_exp,Type_mother_exp,Horm_mother_exp,Horm_mother_units,Horm_mother_lab,Horm_mother_applied_dose,Horm_mother_mean_nat,Horm_mother_dose_exp,Horm_mother_SD,Horm_mother_cateogrical_dose,Time_mother_exp,Egg_order_exp,Egg_n_exp,Percent_egg_exp,Time_egg_exp,Method_egg_exp,Site_egg_exp,Horm_egg_exp,Horm_egg_units,Horm_egg_lab,Horm_egg_applied_dose,Horm_egg_mean_nat,Horm_egg_dose_exp,Horm_egg_SD,Horm_egg_cateogrical_dose,Solvent_egg_used_exp,Fitness_trait,Fitness_mother,Fitness_offs,Off_life_stage,Off_age,Off_average_nesting_time,Off_relative_age,Off_sex,Blind_data_recording,Partial_or_selective_data_rep,TestStat_N_level,TestStat_N_clutch,TestStat_N_off,TestStat_Type,TestStat_NumberOfPredictors,TestStat_Value,TestStat_df,TestStat_p,TestStat_p_comment,TestDirection,Exp_N_level,Control_Mean,Control_Var,Control_N_clutch,Control_N_off,Exp_Mean,Exp_Var,Exp_N_clutch,Exp_N_off,Shared_control,Shared_control_ID,Var_type,Var_type_comment ,DataLocation,DataSource,DataReporting,Raw,Notes,Quotes,ExtractionID,Extraction_check_observer,Extraction_check_notes,Reply_LM,Comments_after_author_response,Final_exclusion_paper_why,Least_square_means,Cross_fostering,Incubation_prior,Effect_size_type
yes,rayyan-123813945,GR_L_16,Lab_ID_14,Population_ID_12,NA,Acute embryonic exposure to corticosterone alters physiology; behaviour and growth in nestlings of a wild passerine,2016,Tilgar; Vallo and Magi; Marko and Lind; Marianne and Lodjak; Jaanis and Moks; Kadri and Mand; Raivo,Mand,Hormones and Behaviour,10.1016/j.yhbeh.2016.06.008,Parus major,altricial,NA,NA,NA,NA,NA,Kilingi-Nõmme; Estonia,58.12,25.08,NA,2011,experimental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3-4-5-6-7,2,NA,during laying/after clutch completion/before incubation,injection,albumen,corticosterone,NA,NA,5,NA,NA,1.5,within natural range,plant oil,mother,hatching success,NA,hatching,0,NA,NA,NA,no,no,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,offspring,88.29,NA,NA,94,81.72,NA,NA,93,no,NA,NA,Absolute percentage (also abs value); no variance,p113,text,complete,no,Authors incubated for 1 or 2 days the eggs shortly prior to hatching. Authors collected the 3rd-7th egg; and from these eggs they randomly manipulated 2 with cort or control. The hatching success is on number of offspring/eggs: control: 83chicks/94 eggs and cort 76 chicks/93 eggs,NA,LM,LM,Authors incubated for 1 or 2 days the eggs shortly prior to hatching. Should we consider this paper?,Yes because these was only shortly before hatchind and chicks were placed back to their nests afterwards. Effect of this manipulation on fitness traits should be minor.,NA,NA,no,no,yes,Absolute
yes,rayyan-123813945,GR_L_16,Lab_ID_14,Population_ID_12,NA,Acute embryonic exposure to corticosterone alters physiology; behaviour and growth in nestlings of a wild passerine,2016,Tilgar; Vallo and Magi; Marko and Lind; Marianne and Lodjak; Jaanis and Moks; Kadri and Mand; Raivo,Mand,Hormones and Behaviour,10.1016/j.yhbeh.2016.06.008,Parus major,altricial,NA,NA,NA,NA,NA,Kilingi-Nõmme; Estonia,58.12,25.08,NA,2011,experimental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3-4-5-6-7,2,NA,during laying/after clutch completion/before incubation,injection,albumen,corticosterone,NA,NA,5,NA,NA,1.5,within natural range,plant oil,offspring,NA,mass,hatching,0,NA,NA,NA,no,yes,offspring,43,NA,Chi-square (mixed model),1,1.44,1,0.23,p-value (Cohen's d = 0.09),positive,offspring,1.08,0.32,NA,NA,1.12,0.28,NA,NA,no,NA,SD,NA,p116; response from author,text,complete,no,Authors incubated for 1 or 2 days the eggs shortly prior to hatching. Authors collected the 3rd-7th egg; and from these eggs they randomly manipulated 2 with cort or control.  The number of predictors is not clear because in the methods section they say that from the initial model (3 factors) they only used those significant predictors and significat interactions.,NA,LM,LM,Authors incubated for 1 or 2 days the eggs shortly prior to hatching. Should we consider this paper?,Yes because these was only shortly before hatchind and chicks were placed back to their nests afterwards. Effect of this manipulation on fitness traits should be minor.,NA,NA,no,no,yes,Mean
yes,rayyan-123813945,GR_L_16,Lab_ID_14,Population_ID_12,NA,Acute embryonic exposure to corticosterone alters physiology; behaviour and growth in nestlings of a wild passerine,2016,Tilgar; Vallo and Magi; Marko and Lind; Marianne and Lodjak; Jaanis and Moks; Kadri and Mand; Raivo,Mand,Hormones and Behaviour,10.1016/j.yhbeh.2016.06.008,Parus major,altricial,NA,NA,NA,NA,NA,Kilingi-Nõmme; Estonia,58.12,25.08,NA,2011,experimental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3-4-5-6-7,2,NA,during laying/after clutch completion/before incubation,injection,albumen,corticosterone,NA,NA,5,NA,NA,1.5,within natural range,plant oil,offspring,NA,mass,before independence,8,NA,NA,NA,no,yes,offspring,34,97,NA,NA,NA,NA,NA,NA,NA,offspring,12.45,1.6,NA,47,12.3,1.6,NA,50,no,NA,SD,NA,response from the author,text,complete,no,Authors incubated for 1 or 2 days the eggs shortly prior to hatching. Authors collected the 3rd-7th egg; and from these eggs they randomly manipulated 2 with cort or control.,NA,LM,LM,Authors incubated for 1 or 2 days the eggs shortly prior to hatching. Should we consider this paper?,Yes because these was only shortly before hatchind and chicks were placed back to their nests afterwards. Effect of this manipulation on fitness traits should be minor.,NA,NA,no,no,yes,Mean
yes,rayyan-123813945,GR_L_16,Lab_ID_14,Population_ID_12,NA,Acute embryonic exposure to corticosterone alters physiology; behaviour and growth in nestlings of a wild passerine,2016,Tilgar; Vallo and Magi; Marko and Lind; Marianne and Lodjak; Jaanis and Moks; Kadri and Mand; Raivo,Mand,Hormones and Behaviour,10.1016/j.yhbeh.2016.06.008,Parus major,altricial,NA,NA,NA,NA,NA,Kilingi-Nõmme; Estonia,58.12,25.08,NA,2011,experimental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3-4-5-6-7,2,NA,during laying/after clutch completion/before incubation,injection,albumen,corticosterone,NA,NA,5,NA,NA,1.5,within natural range,plant oil,offspring,NA,mass,before independence,15,NA,NA,NA,no,yes,offspring,34,97,NA,NA,NA,NA,NA,NA,NA,offspring,16.5,2,NA,47,16.7,1.6,NA,50,no,NA,SD,NA,response from the author,text,complete,no,Authors incubated for 1 or 2 days the eggs shortly prior to hatching. Authors collected the 3rd-7th egg; and from these eggs they randomly manipulated 2 with cort or control.,NA,LM,LM,Authors incubated for 1 or 2 days the eggs shortly prior to hatching. Should we consider this paper?,Yes because these was only shortly before hatchind and chicks were placed back to their nests afterwards. Effect of this manipulation on fitness traits should be minor.,NA,NA,no,no,yes,Mean
yes,rayyan-123813945,GR_L_16,Lab_ID_14,Population_ID_12,NA,Acute embryonic exposure to corticosterone alters physiology; behaviour and growth in nestlings of a wild passerine,2016,Tilgar; Vallo and Magi; Marko and Lind; Marianne and Lodjak; Jaanis and Moks; Kadri and Mand; Raivo,Mand,Hormones and Behaviour,10.1016/j.yhbeh.2016.06.008,Parus major,altricial,NA,NA,NA,NA,NA,Kilingi-Nõmme; Estonia,58.12,25.08,NA,2011,experimental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3-4-5-6-7,2,NA,during laying/after clutch completion/before incubation,injection,albumen,corticosterone,NA,NA,5,NA,NA,1.5,within natural range,plant oil,offspring,NA,tarsus,before independence,8;15,NA,NA,NA,no,yes,offspring,NA,NA,Chi-square (mixed model),NA,1.03,1,0.31,p-value (Cohen's d = 0.04),unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,p117,text,incomplete,no,Authors incubated for 1 or 2 days the eggs shortly prior to hatching. Authors collected the 3rd-7th egg; and from these eggs they randomly manipulated 2 with cort or control. The number of predictors is not clear because in the methods section they say that from the initial model (3 factors) they only used those significant predictors and significat interactions. The results on nestling tarsus length are considering day 8 and 15 together. No sample sizes for each age (nestlings ahve 40 nests in total; 61 chicks per treatment; but on day 15 this seems to be lower according to figure 6).,NA,LM,LM,Authors incubated for 1 or 2 days the eggs shortly prior to hatching. Should we consider this paper?,Yes because these was only shortly before hatchind and chicks were placed back to their nests afterwards. Effect of this manipulation on fitness traits should be minor.,NA,NA,no,no,yes,Chi-square (mixed model)
yes,rayyan-123813945,GR_L_16,Lab_ID_14,Population_ID_12,NA,Acute embryonic exposure to corticosterone alters physiology; behaviour and growth in nestlings of a wild passerine,2016,Tilgar; Vallo and Magi; Marko and Lind; Marianne and Lodjak; Jaanis and Moks; Kadri and Mand; Raivo,Mand,Hormones and Behaviour,10.1016/j.yhbeh.2016.06.008,Parus major,altricial,NA,NA,NA,NA,NA,Kilingi-Nõmme; Estonia,58.12,25.08,NA,2011,experimental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3-4-5-6-7,2,NA,during laying/after clutch completion/before incubation,injection,albumen,corticosterone,NA,NA,5,NA,NA,1.5,within natural range,plant oil,offspring,NA,wing,before independence,15,NA,NA,NA,no,yes,offspring,40,NA,Chi-square (mixed model),NA,0.25,1,0.6,p-value (Cohen's d = 0.57),negative,NA,51.9,3.2,NA,NA,51.8,2.8,NA,NA,NA,NA,SD,NA,p117,text,incomplete,no,Authors incubated for 1 or 2 days the eggs shortly prior to hatching. Authors collected the 3rd-7th egg; and from these eggs they randomly manipulated 2 with cort or control. The number of predictors is not clear because in the methods section they say that from the initial model (3 factors) they only used those significant predictors and significat interactions. ,NA,LM,LM,Authors incubated for 1 or 2 days the eggs shortly prior to hatching. Should we consider this paper?,Yes because these was only shortly before hatchind and chicks were placed back to their nests afterwards. Effect of this manipulation on fitness traits should be minor.,NA,NA,no,no,yes,Chi-square (mixed model)
yes,rayyan-123814021,GR_N_01,Lab_ID_7,Population_ID_18,NA,Avian mothers create different phenotypes by hormone deposition in their eggs,2006,Eising; C.M. and Müller; W. and Groothuis; T.G.G.,Groothuis,Biology Letters,10.1098/rsbl.2005.0391,Chroicocephalus ridibundus,semi-precocial,3,NA,NA,1,NA,Westernieland; The Netherlands,53.4,6.47,NA,1999-2001,experimental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,33.33333333,during laying/after clutch completion/before incubation,injection,yolk,androstenedione and testosterone,ug,NA,10.12,NA,NA,NA,within natural range,plant oil,offspring,NA,mass,before independence,NA,NA,NA,NA,yes,NA,offspring,NA,43,F-test (linear mixed model),3,0.49,39,0.49,p-value,unclear,offspring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,p21,text,incomplete,no,Attention with paper from the authors 2001; could be overlap. No raw data accessible.,NA,MNA,LM,We need to contact the authors because no info on the direction of the treatment is given. I checked Eising et al 2001 paper (as MNA wrote down in comments) but it seems that the data bases are different between studies.,NA,No response from authors,NA,no,no,no,F-test (linear mixed model)
yes,rayyan-123814024,GR_P_05,Lab_ID_18,Population_ID_25,NA,Balancing between costs and benefits of maternal hormone deposition in avian eggs,2005,Groothuis; T.G.G. and Eising; C.M. and Dijkstra; C. and Müller; W.,Müller,Biology Letters,10.1098/rsbl.2004.0233,Chroicocephalus ridibundus,semi-precocial,3,NA,NA,1,1,North coast of The Netherlands,NA,NA,NA,NA,experimental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,33.33333333,during laying/after clutch completion/before incubation,injection,yolk,androstenedione and testosterone,ug,Sigma; Germany,7.59,NA,NA,NA,within natural range,plant oil,offspring,NA,growth rate (tarsus),before independence,7,NA,NA,NA,NA,NA,offspring,NA,16,Paired t-test,NA,-2.531,7,0.041,p-value,positive,offspring,1.2,0.22,8,8,1.68,0.13,8,8,no,NA,SE,NA,p79,text,complete,no,Same population of: Eising; C. M.; Eikenaar; C.; Schwabl; H. & Groothuis; T. G. G. 2001 Maternal androgens in blackheaded gull (Larus ridibundus) eggs: consequences for chick development. Proc. R. Soc. B 268; 839–846. Chick measured the first week after hatching but exact day not indicated,NA,PBD,LM; ASF,No info on elevation; so we replaces 0 for NA; according to the text (intro) the clutch size is 3 (not the mean; but the data seems to reflect the mode); chicks were sampled 1 week after hatching; so we wrote down 7 for the offspring age.; the p test is a p value and the direction of the effect is positive because treated eggs had higher tarsus; the authors took 16 first eggs but then put a control and exp egg in one nest; so the number of nests during the nestling period is 8. based on this and the statistical analysis that the authors did; we consider 8 as the N clutches.,NA,NA,NA,no,no,no,Mean
yes,rayyan-123814059,GR_L_02,Lab_ID_21,Population_ID_13,NA,Brood Reduction via Intra-clutch Variation in Testosterone - An Experimental Test in the Great Tit,2013,Podlas; K. and Helfenstein; F. and Richner; H.,Richner,PLoS ONE,10.1371/journal.pone.0056672,Parus major,altricial,NA,NA,NA,NA,NA,Köniz forest; Switzerland,46.93,7.4,NA,2009,experimental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/2/2003,3,NA,during laying/after clutch completion/before incubation,injection,yolk,testosterone,ng,Fluka; Switzerland,15,8.25,181.8181818,NA,within natural range,plant oil,offspring,NA,hatching number,before independence,3,NA,NA,NA,NA,NA,clutch,NA,NA,NA,NA,NA,NA,NA,NA,NA,clutch,5.4,0.5,15,NA,4.8,0.83,18,NA,yes,SC_L_2,SE,NA,p4,text,complete,no,First 3 eggs within a clutch manipulated; hatching success is reported in the text but the test is between experimental groups (injected first vs last); not with a control l - this is why I do not add this info here. ,NA,LM,AST,Exp_Var needs correction; it should be 0.39,I modified it,NA,NA,no,no,no,Mean
yes,rayyan-123814059,GR_L_02,Lab_ID_21,Population_ID_13,NA,Brood Reduction via Intra-clutch Variation in Testosterone - An Experimental Test in the Great Tit,2013,Podlas; K. and Helfenstein; F. and Richner; H.,Richner,PLoS ONE,10.1371/journal.pone.0056672,Parus major,altricial,NA,NA,NA,NA,NA,Köniz forest; Switzerland,46.93,7.4,NA,2009,experimental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/7/2008,3,NA,during laying/after clutch completion/before incubation,injection,yolk,testosterone,ng,Fluka; Switzerland,15,8.25,181.8181818,NA,within natural range,plant oil,offspring,NA,hatching number,before independence,3,NA,NA,NA,NA,NA,clutch,NA,NA,NA,NA,NA,NA,NA,NA,NA,clutch,5.4,0.5,15,NA,4,0.34,18,NA,yes,SC_L_2,SE,NA,p4,text,complete,no,Last 3 eggs within a clutch manipulatedhatching success is reported in the text but the test is between experimental groups (injected first vs last); not with a control - this is why I do not add this info here. ,NA,LM,AST,ok,NA,NA,NA,no,no,no,Mean
